latitude,longitude,landcover
-70.04072166666667,12.545136666666666,5
-69.88732222222222,12.44571111111111,5
-69.887275,12.445719444444444,5
-69.88757222222223,12.445772222222223,5
-69.88823055555557,12.446063888888888,5
-69.88823611111111,12.446047222222223,5
-69.88823055555557,12.44603888888889,5
-69.88840555555556,12.44566111111111,5
-69.88943611111112,12.44503888888889,5
-69.89436388888889,12.454258333333332,5
-69.98228833333333,12.5118,5
-69.98528666666667,12.515286666666666,5
-69.98538,12.515083333333333,5
-69.98535333333334,12.515178333333333,5
-69.98540333333334,12.515186666666667,5
-69.9853,12.515271666666667,5
-69.98532666666667,12.515228333333333,5
-69.98542333333333,12.515286666666666,5
