latitude,longitude,landcover
-69.98453833333333,12.516571666666668,2
-70.02761166666667,12.582165,2
-70.02738,12.582323333333333,2
-70.00624666666667,12.527363333333334,2
-70.03035833333334,12.596763333333334,2
-70.03035833333334,12.59676,2
-69.98232666666667,12.520776666666668,2
-69.98205166666666,12.519966666666667,2
-70.011485,12.534858333333334,2
-69.8897638888889,12.445055555555555,2
-69.88978611111112,12.445075000000001,2
-69.88994722222223,12.444983333333333,2
-70.03363,12.54856,2
-70.03361833333334,12.548405,2
-70.02323333333334,12.535113333333333,2
-70.02785333333333,12.562968333333334,2
-70.02786833333333,12.56297,2
