latitude,longitude,landcover
-69.996135,12.508056666666667,7
-69.99585666666667,12.507873333333333,7
-69.99510666666667,12.507683333333333,7
-69.99232833333333,12.50885,7
-69.99281666666667,12.507996666666667,7
-69.993155,12.507525,7
-70.03998,12.545423333333334,7
-70.04094166666667,12.544668333333334,7
-70.0412,12.54131,7
-70.043105,12.54108,7
-70.04411,12.541644999999999,7
-70.04744722222222,12.617075,7
-69.98821944444444,12.558552777777779,7
-69.9339138888889,12.522133333333334,7
-70.03196166666666,12.60475,7
-70.02411666666667,12.600915,7
-70.02402666666667,12.597631666666667,7
-70.024955,12.597113333333334,7
-70.025125,12.595971666666667,7
-69.91772166666667,12.456735,7
-70.00181166666667,12.4888,7
-70.00163166666667,12.488978333333332,7
-69.99850333333333,12.497328333333332,7
-69.99784333333334,12.498024999999998,7
-69.99896333333334,12.493708333333332,7
