latitude,longitude,landcover
-69.8807307423477,12.4321239761431,7
-69.8782624046106,12.4356144156179,7
-69.8794511865486,12.4359022395129,7
-69.8825137876939,12.4323035318862,7
-69.9754987378247,12.5508428166081,7
-69.9785672642576,12.5546637741521,7
-69.9844568797717,12.5563671113493,7
-69.984384467475,12.5566582450233,7
-69.9863468381115,12.5567771377375,7
-69.988360286955,12.5570788884518,7
-69.9881787033001,12.5567039435893,7
-69.9877514681442,12.5562542904955,7
-69.9876122095122,12.555369376923,7
-69.9888352891278,12.5546176788938,7
