latitude,longitude,landcover
-69.9966665987555,12.5308650123769,12
-69.9965364795832,12.5307319875779,12
-69.9965005478701,12.5308894923839,12
-69.9964233215018,12.5310601324202,12
-69.9962792874258,12.531165852526,12
-69.9962889847393,12.5308864635137,12
-69.9962427709095,12.5303103163306,12
-69.9961452641753,12.5302130783114,12
-69.9954602439739,12.5299046060924,12
-69.9955506989331,12.5300984693603,12
-69.9714603336171,12.5317437919626,12
-69.9721669412331,12.5330158767674,12
-69.9728942388467,12.5338445127657,12
-69.9723886337671,12.5354512707756,12
-69.9745016114526,12.5352112952632,12
-69.9882093026136,12.555485011045,12
