latitude,longitude,landcover
-69.9958027841682,12.5300712620586,5
-69.9711753296185,12.5284180680258,5
-69.8999385952112,12.448241529155,5
-69.8993268622656,12.4511380487594,5
-69.8987441017846,12.4502009164912,5
-69.8976180501013,12.4502871170889,5
-69.895804948024,12.4504628269571,5
-69.8943904365231,12.4533503157645,5
-69.8936049316724,12.4544142719585,5
-69.8931239512114,12.4630303861114,5
-69.8926596416854,12.4644778069003,5
-69.9099086623764,12.4558710169259,5
-69.9135526693432,12.4532786396519,5
-69.8950654791366,12.4517686428996,5
-69.8941051953692,12.4684384043264,5
-69.8837957303167,12.4369805091235,5
-69.971885762261,12.4882543423822,5
-69.9729085804502,12.4926518938174,5
-69.9761891703756,12.5282201503436,5
-69.9768516644229,12.5467024490831,5
-69.9879965743678,12.5522403939713,5
-69.9875304888725,12.5515537917721,5
